name,slug,brand,category,gender,price,stock,description,imageKey,source,externalName,confidence
"9AM Dive",afnan-9am-dive,"AFNAN",,,280250,0,"Sumérgete en una experiencia refrescante con el Gift Set 9 AM Dive de Afnan, una fragancia moderna, energética y llena de vitalidad. Diseñada para el hombre dinámico que busca comenzar cada día con actitud y frescura, esta composición combina cítricos chispeantes con un fondo cálido y especiado. Contenido del set: 100 ml Eau de Parfum 150 ml Gel de ducha 150 ml Desodorante perfumado en spray Este set es ideal como regalo o para quienes desean disfrutar de una experiencia olfativa completa con ar",products/afnan/9am-dive/01.jpg,local-assets+disfragancias,"Afnan 9 AM Dive set de regalo",0.49
"9AM Product",afnan-9am-product,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9am-product/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9amdiveside",afnan-9amdiveside,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9amdiveside/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9PM 02",afnan-9pm-02,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9pm-02/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9PM Product",afnan-9pm-product,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9pm-product/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"9pmfront",afnan-9pmfront,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/9pmfront/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"Untitled Design",afnan-untitled-design,"AFNAN",decants,,23750,0,"El Aroma de la Libertad Absoluta Este perfume está inspirado en Azzaro The Most Wanted Parfum y MYSLF Le parfum de YSL. Lynked Freedom es una fragancia Aromática Especiada que evoca la sensación de un horizonte abierto y sin límites. Lanzada en 2025 y bajo la dirección creativa de Imran Fazlani , esta esencia es una sinfonía de frescura y calidez. Su apertura vibrante de toronja y salvia despierta los sentidos, mientras que su corazón especiado de cardamomo y enebro aporta una masculinidad refin",products/afnan/untitled-design/01.jpg,local-assets+disfragancias,"Afnan Lynked Freedom Black",0.4
"1149bn",al-haramain-1149bn,"AL HARAMAIN",,,114000,0,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b",products/al-haramain/1149bn/01.jpg,local-assets+disfragancias,"Al haramain tanasuk aceite puro",0.4
"1483 Combo",al-haramain-1483-combo,"AL HARAMAIN",,,114000,0,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b",products/al-haramain/1483-combo/01.jpg,local-assets+disfragancias,"Al haramain tanasuk aceite puro",0.4
"Ahp1013 Amber Oud Gold Edition 100ml 1",al-haramain-ahp1013-amber-oud-gold-edition-100ml-1,"AL HARAMAIN",decants,,28500,0,"Dubái es una ciudad vibrante y culturalmente diversa, llena de aromas y experiencias que capturan su esencia única. Una fragancia que refleja esta esencia es Haramain Amber Oud Gold 999.9, Dubai Edition. Este perfume se despliega como un viaje a través del tiempo y la cultura de Dubái, donde cada nota es un reflejo de su herencia rica y multifacética. Desde las notas de salida de pera, naranja, bergamota y limón, la fragancia evoca la frescura de este dinámico destino. Con notas de melón, jazmín",products/al-haramain/ahp1013-amber-oud-gold-edition-100ml-1/01.jpg,local-assets+disfragancias,"Al haramain amber oud gold edition 999.9",0.67
"Ahp1015 Amber Oud Blue Edition 100ml",al-haramain-ahp1015-amber-oud-blue-edition-100ml,"AL HARAMAIN",decants,,28500,0,"Dubái es una ciudad vibrante y culturalmente diversa, llena de aromas y experiencias que capturan su esencia única. Una fragancia que refleja esta esencia es Haramain Amber Oud Gold 999.9, Dubai Edition. Este perfume se despliega como un viaje a través del tiempo y la cultura de Dubái, donde cada nota es un reflejo de su herencia rica y multifacética. Desde las notas de salida de pera, naranja, bergamota y limón, la fragancia evoca la frescura de este dinámico destino. Con notas de melón, jazmín",products/al-haramain/ahp1015-amber-oud-blue-edition-100ml/01.jpg,local-assets+disfragancias,"Al haramain amber oud gold edition 999.9",0.58
"Ahp1053 Laventure Rose1",al-haramain-ahp1053-laventure-rose1,"AL HARAMAIN",,,114000,0,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b",products/al-haramain/ahp1053-laventure-rose1/01.jpg,local-assets+disfragancias,"Al haramain tanasuk aceite puro",0.4
"Ahp1485 With Box",al-haramain-ahp1485-with-box,"AL HARAMAIN",,,114000,0,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b",products/al-haramain/ahp1485-with-box/01.jpg,local-assets+disfragancias,"Al haramain tanasuk aceite puro",0.4
"Ahp1604 Haramain Laventure 01",al-haramain-ahp1604-haramain-laventure-01,"AL HARAMAIN",,,114000,0,"Al Haramain Tanasuk es un aceite puro que encarna la seducción en su forma más exquisita. Rico en los opulentos aromas de rosa, azafrán, ámbar y vainilla , esta fragancia oriental se fusiona a la perfección para crear una experiencia olfativa sofisticada y única. Las profundas notas de almizcle, pachulí y madera de guayaco añaden una intensidad y un efecto duradero que la hacen irresistible. Su lujosa botella es una declaración en sí misma, ideal para esa ocasión especial. Fabricada en cristal b",products/al-haramain/ahp1604-haramain-laventure-01/01.jpg,local-assets+disfragancias,"Al haramain tanasuk aceite puro",0.48
"Ahp1909 Haramain Laventure Blanche 100ml",al-haramain-ahp1909-haramain-laventure-blanche-100ml,"AL HARAMAIN",decants,,23750,0,"Blanche de Al Haramain Perfumes es una fragancia unisex moderna y sofisticada, diseñada para quienes buscan un equilibrio entre frescura y calidez. Su apertura vibrante combina el dulzor exótico del lichi y la pitahaya con la frescura de la bergamota y un sutil toque especiado de nuez moscada, creando una primera impresión envolvente y única. En su corazón, la suavidad de la rosa y la peonía se fusiona con la calidez de la vainilla, aportando un matiz elegante y ligeramente cremoso. Finalmente,",products/al-haramain/ahp1909-haramain-laventure-blanche-100ml/01.jpg,local-assets+disfragancias,"Al haramain french collection blanche",0.55
"Arabiyat Prestige Mens Marwa Edp Spray 34 Oz Fragrances 6290361912348",arabiyat-arabiyat-prestige-mens-marwa-edp-spray-34-oz-fragrances-6290361912348,"ARABIYAT",decants,,23750,0,"Este perfume se encuentra inspirado en Louis Vuitton Imagination. Experimenta la esencia de la sofisticación vibrante con Marwa de Arabiyat Prestige , una fragancia cítrica aromática diseñada para el hombre que busca una presencia fresca, energética y distintiva. Lanzada en 2025 , esta nueva creación promete ser un pilar en el repertorio del caballero contemporáneo. La fragancia se abre con una explosión luminosa y revitalizante de cítricos mediterráneos . La chispeante bergamota de Calabria se",products/arabiyat/arabiyat-prestige-mens-marwa-edp-spray-34-oz-fragrances-6290361912348/01.jpg,local-assets+disfragancias,"Arabiyat Prestige Marwa",0.54
"290625",ariana-grande-290625,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/290625/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"305097",ariana-grande-305097,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/305097/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"335865",ariana-grande-335865,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/335865/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"353726",ariana-grande-353726,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/353726/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"455644",ariana-grande-455644,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/455644/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"464725",ariana-grande-464725,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/464725/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"464727",ariana-grande-464727,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/464727/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"486159",ariana-grande-486159,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/486159/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"500872",ariana-grande-500872,"Ariana Grande",,,399000,0,"El Set de Regalo Esencial para Amantes de la Vainilla Moderna Si buscas un regalo que defina la elegancia suave y la dulzura confortable , el set de Mod Vanilla es la elección ideal. Lanzada en 2022, esta fragancia es la versión más minimalista y sofisticada de la dulzura de Ariana Grande, perfecta para quien ama la vainilla cremosa sin ser empalagosa. Mod Vanilla es una fragancia Oriental Vainilla que comienza con una introducción inesperada y elegante. Un velo suave de Almizcle se fusiona con",products/ariana-grande/500872/01.jpg,local-assets+disfragancias,"Ariana Grande Mod Vanilla set de regalo navidad",0.4
"200ml",armaf-200ml,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/200ml/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"2 Ezgif.com Webp To Jpg Converter",armaf-2-ezgifcom-webp-to-jpg-converter,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/2-ezgifcom-webp-to-jpg-converter/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"35721 11",armaf-35721-11,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/35721-11/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"35721 13",armaf-35721-13,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/35721-13/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"35721 3",armaf-35721-3,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/35721-3/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"514mtbtpnol",armaf-514mtbtpnol,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/514mtbtpnol/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"61edpq JR1L. UF1000 1000 QL80",armaf-61edpq-jr1l-uf1000-1000-ql80,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/61edpq-jr1l-uf1000-1000-ql80/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"65",armaf-65,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/65/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
"68",armaf-68,"Armaf",decants,,27000,0,"El Brillo Eterno de la Feminidad Club De Nuit Woman Extrait de Armaf es una declaración de poder, lujo y seducción. Lanzada en 2025 , esta nueva interpretación en concentración Extrait de Parfum lleva el ADN icónico de la colección a una dimensión más densa, rica y sofisticada. Es la representación olfativa de una noche de gala bajo las luces de la ciudad: la frescura efervescente de los cítricos se funde con un corazón floral aterciopelado, reposando sobre una base magnética de maderas y vainil",products/armaf/68/01.jpg,local-assets+disfragancias,"Armaf Club de Nuit Woman Extrait de Parfum",0.4
